IN,year,hqcity,hqregion,founded,links,issue,weighted,unanimity,ppp,agreements,monitoring,capacity,design,implementation,financial,csterms_acc_log,csterms_eval_log,csterms_redress_log,csterms_invest_log,csterms_part_log,csterms_trans_log,info_pol,info_pres,info_def,info_time,info_app,part_govrange,part_advrange,part_conrange,eval_unit,eval_ind,eval_disc,eval_res,eval_mon,red_mech,red_ind,red_conf,red_retal,red_mon,inv_mech,inv_ind,inv_con,inv_retal,invest_mon,trans,eval,redress,invest,part,msa_comp,political,social,economic,wave,expenditures,income,contributions
AF,2001,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2002,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2003,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2004,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2005,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2006,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2007,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2008,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,1.098612289,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,mfw,,,
AF,2009,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0.693147181,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,1,0,mfw,,,
AF,2010,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,1.386294361,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,1,0,mfw,6.257143,163.4146,57.105068
AF,2011,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2.5,6.5,0,1,0,mfw,15.314351,86.555732,28.761452
AF,2012,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,1.609437912,0,0.693147181,0,1.386294361,1.098612289,0,0,0,0,0,1,0.5,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,4,0,2,2.5,8.5,0,1,0,mfw,18.008605,51.221315,33.668209
AF,2013,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,1.098612289,0.693147181,1,1,1,1,1,1,0.5,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,5,4,0,2,2.5,13.5,0,1,0,mfw,40.17302,25.661786,16.522963
AF,2014,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,1.386294361,0,0,1.386294361,0,0.693147181,1,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,2,2.5,9.5,0,1,0,mfw,46.025986,80.590367,77.614776
AF,2015,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0.693147181,0,0,0,1.098612289,0.693147181,1,1,1,1,1,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,2,2.5,9.5,0,1,0,mfw,49.109596,75.915841,71.229796
AF,2016,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,1.386294361,1.098612289,0,0,0.693147181,1.609437912,1,1,1,1,1,1,0.5,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,5,0,3,2,2.5,12.5,0,1,0,mfw,25.666367,63.664591,59.831178
AF,2017,washington,americas,2001,WB,environment,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.693147181,1,1,1,1,1,1,0.5,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,5,0,3,2,2.5,12.5,0,1,0,mfw,61.53,100.05,100.05
